id,highway,name,NHS,bicycle,hgv,hgv:national_network,lanes,oneway,ref,source:hgv:national_network,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:reviewed,tiger:separated,tiger:source,tiger:tlid,tiger:zip_left,tiger:zip_right,created_by,tiger:zip_left_1,service,maxspeed,lcn_ref,access,cycleway,name_1,tiger:name_base_1,tiger:name_type_1,foot,tiger:upload_uuid,bridge,layer,old_ref,junction,incline,destination,surface,history,toll,FIXME,noname,motor_vehicle,maxheight,note,sidewalk,fixme,old_name,oneway:bicycle,hgv:state_network,source:hgv:state_network,tiger:name_direction_prefix,tiger:zip_left_2,tiger:zip_right_1,tiger:zip_right_2,trolley_wire,maxweight,parking:condition:both,parking:condition:both:maxstay,parking:condition:both:residents,parking:condition:both:time_interval,parking:condition:left:2,parking:condition:left:2:reason,parking:condition:left:2:time_interval,parking:condition:right:2,parking:condition:right:2:reason,parking:condition:right:2:time_interval,alt_name,cycleway:left,noexit,parking:condition:left,parking:condition:right,parking:condition:right:maxstay,parking:condition:right:residents,parking:condition:right:time_interval,tiger:zip_left_3,tiger:zip_left_4,tiger:zip_right_3,cycleway:right,horse,note:name,source:name,pedestrians,tiger:name_direction_suffix,cutting,psv,source,construction,area,lcn,motorcar,addr:street,tourism,parking:lane:both,wikipedia,name:zh,maxspeed:hgv,tunnel,note:highway,source:destination,old_name_1,tiger:name_base_2,footway,lit,wheelchair,tracktype,vehicle,hazard:bicycle,note:lanes,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:reviewed,gnis:state_id,note:lcn,paved,bridge:movable,car,width,maxspeed:trailer,bridge:alt_name,bridge:name,bridge:old_name,gosm:sig:8CBDE645,motorcycle,parking:lane:left,parking:lane:right,short_name,railway,waterway,step_count,website,access:backward,man_made,loc_name,official_name,bridge:structure,colour,historic,start_date,wikipedia:de,wikipedia:en,leisure,public,localwiki,access:conditional,smoothness,steps,parking:condition:left:maxstay,parking:condition:left:residents,parking:condition:left:time_interval,name_base,name_type,addr:housenumber,proposed,direction,hov,description,pedestrian,designation,embankment,segregated,bus,trail_visibility,turn:lanes,contact:phone,diet:halal,opening_hours
8914974,residential,12th Avenue,,,,,,,,,A41,San Francisco, CA,12th,Ave,,,,,94122,94122,,94122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914977,service,Berwick Place,,,,,,,,,,San Francisco, CA,Berwick,Pl,,,,,94103,94103,,,alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914980,residential,Baker Court,,,,,,,,,A41,San Francisco, CA,Baker,Ct,,,,,94129,94129,,,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914982,tertiary,Jamestown Avenue,,,,,,,,,A41,San Francisco, CA,Jamestown,Ave,no,,,,94124,94124,,,,40 mph,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914983,unclassified,Jamestown Avenue,,,,,,yes,,,A41,San Francisco, CA,Jamestown,Ave,,no,tiger_import_dch_v0.6_20070809,192299773,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914984,residential,Louisburg Street,,,,,,,,,A41,San Francisco, CA,Louisburg,St,,,,,94112,94112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914986,residential,Quarry Road,,,,,,,,,A41,San Francisco, CA,Quarry,Rd,no,no,tiger_import_dch_v0.6_20070809,192292764,94129,94129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914988,tertiary,Bosworth Street,,,,,,,,,A45,San Francisco, CA,Bosworth,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914993,tertiary,Bosworth Street,,,,,,yes,,,A45,San Francisco, CA,Bosworth,St,no,,,,94131,,,94131,,,45;70,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914994,residential,Liebig Street,,,,,,,,,A41,San Francisco, CA,Liebig,St,,no,tiger_import_dch_v0.6_20070809,192296941:192296942,94112,94112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
